Equipo,Escalador,X,Y,Z,Inclinacion X,Inclinacion Y,Cima
LIFFT,facu,13966.412184557594,13989.898003615037,3141.8,-184.768,-180.809,
LIFFT,lucas,13904.279743123687,14024.205918357395,3146.4,-184.466,-180.675,
LIFFT,fran,14091.297148102152,14005.669544308892,3119.2,-185.964,-181.815,
LIFFT,ivan,13915.040692810124,13964.245480806881,3154.1,-184.143,-180.229,
LIFFT,facu,13955.643674100364,14038.72462732109,3135.9,-185.014,-181.159,
LIFFT,lucas,13953.716328609908,14016.720999155184,3139.7,-184.844,-180.954,
LIFFT,fran,14056.96734113658,14042.021495476698,3119.0,-185.918,-181.892,
LIFFT,ivan,13912.176099672966,13914.327607192728,3162.4,-183.771,-179.775,
LIFFT,facu,13955.643674100364,14038.72462732109,3135.9,-185.014,-181.159,
LIFFT,lucas,13953.716328609908,14016.720999155184,3139.7,-184.844,-180.954,
LIFFT,fran,14056.96734113658,14042.021495476698,3119.0,-185.918,-181.892,
LIFFT,ivan,13912.176099672966,13914.327607192728,3162.4,-183.771,-179.775,
LIFFT,facu,13955.643674100364,14038.72462732109,3135.9,-185.014,-181.159,
LIFFT,lucas,13953.716328609908,14016.720999155184,3139.7,-184.844,-180.954,
LIFFT,fran,14056.96734113658,14042.021495476698,3119.0,-185.918,-181.892,
LIFFT,ivan,13912.176099672966,13914.327607192728,3162.4,-183.771,-179.775,
LIFFT,facu,13955.643674100364,14038.72462732109,3135.9,-185.014,-181.159,
LIFFT,lucas,13953.716328609908,14016.720999155184,3139.7,-184.844,-180.954,
LIFFT,fran,14056.96734113658,14042.021495476698,3119.0,-185.918,-181.892,
LIFFT,ivan,13912.176099672966,13914.327607192728,3162.4,-183.771,-179.775,
LIFFT,facu,13955.643674100364,14038.72462732109,3135.9,-185.014,-181.159,
LIFFT,lucas,13953.716328609908,14016.720999155184,3139.7,-184.844,-180.954,
LIFFT,fran,14056.96734113658,14042.021495476698,3119.0,-185.918,-181.892,
LIFFT,ivan,13912.176099672966,13914.327607192728,3162.4,-183.771,-179.775,
LIFFT,facu,13979.601061396661,14082.611340503272,3125.1,-185.528,-181.707,
LIFFT,lucas,13917.214860141794,13982.550210465555,3150.9,-184.289,-180.403,
LIFFT,fran,14095.514633507684,14073.866530424968,3107.7,-186.475,-182.437,
LIFFT,ivan,13908.431318894765,13864.468038232266,3170.8,-183.391,-179.315,
