EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14665.107510106434, 14384.0, 2963.5191537446453
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14625.0, 14000.0, 3032.755671077504
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14671.169687932934, 14387.5, 2961.922852481275
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14475.0, 14822.724133595239, 2923.020953697127
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13687.5, 14541.265877365277, 3099.4484744334413
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 13198.926501499409, 14462.5, 3189.9664610776776
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 14825.0, 14000.0, 2999.462665406427
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13415.43285244552, 14337.5, 3175.2652567204123
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14162.5, 13718.541743770038, 3152.8954824240454
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15000.0, 2973.561436672968
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13462.5, 13069.022690931706, 3360.6124733836914
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14692.820323027536, 14400.0, 2956.2166564792055
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14650.0, 14000.0, 3028.6105860113416
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14698.016475450251, 14403.0, 2954.845979024416
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14494.0, 14855.633098939048, 2914.307632123999
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 14832.0, 3001.1858449905485
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13675.0, 14562.916512459888, 3098.0136660771277
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 13166.883561559385, 14481.0, 3192.1299068424396
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 14858.0, 14000.0, 2993.94024952741
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13392.05016654334, 14351.0, 3176.8599793385783
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14169.0, 13707.28341352084, 3153.612323469587
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15040.0, 2966.952741020794
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13441.0, 13031.783598568974, 3369.3354197889475
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14720.533135948637, 14416.0, 2948.9010518564073
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14675.0, 14000.0, 3024.4607750472587
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14724.863262967569, 14418.5, 2947.756804619878
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14513.0, 14888.542064282858, 2905.5758271289706
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 14864.0, 2995.9405066162567
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13662.5, 14584.567147554499, 3096.577406021017
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 13134.840621619362, 14499.5, 3194.290172803968
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 14891.0, 14000.0, 2988.409599243856
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13368.667480641161, 14364.5, 3178.4530086940995
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14175.5, 13696.025083271641, 3154.3287719755035
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15080.0, 2960.331947069943
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13419.5, 12994.544506206243, 3378.034698710065
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14748.245948869739, 14432.0, 2941.5723398762484
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14700.0, 14000.0, 3020.306238185255
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14751.710050484886, 14434.0, 2940.6553292676635
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14532.0, 14921.451029626667, 2896.8255387120407
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 14896.0, 2990.6874253308124
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13650.0, 14606.21778264911, 3095.1396942651095
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 13102.797681679338, 14518.0, 3196.4472589622605
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 14924.0, 14000.0, 2982.8707145557655
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13345.284794738982, 14378.0, 3180.0443447869798
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14182.0, 13684.766753022443, 3155.0448279417956
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15120.0, 2953.6990548204158
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13398.0, 12957.30541384351, 3386.7103101470448
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14775.95876179084, 14448.0, 2934.230520538731
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14750.0, 14000.0, 3011.9829867674857
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14805.40362551952, 14465.0, 2926.4154757201986
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14570.0, 14987.268960314286, 2879.269511612477
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13625.0, 14649.519052838332, 3092.259915653906
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 13038.71180179929, 14555.0, 3200.7518918691435
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 14990.0, 14000.0, 2971.7682419659736
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13298.519422934623, 14405.0, 3183.2219371848096
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14195.0, 13662.250092524046, 3156.475762255504
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15200.0, 2940.396975425331
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13355.0, 12882.827229118047, 3403.9905305685893
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14831.384387633043, 14480.0, 2919.5075597916175
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14775.0, 14000.0, 3007.81427221172
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14832.250413036838, 14480.5, 2919.2770975249477
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14589.0, 15020.177925658096, 2870.4637729298433
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 14992.0, 2974.881724007561
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13612.5, 14671.169687932943, 3090.817848798609
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 13006.668861859267, 14573.5, 3202.899438617733
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15023.0, 14000.0, 2966.204654064272
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13275.136737032444, 14418.5, 3184.8081934897605
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14201.5, 13650.991762274847, 3157.19064060292
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15240.0, 2933.727788279773
